language_pair,classification
heb_Hebr-scn_Latn,3-1
heb_Hebr-sin_Sinh,3-1
heb_Hebr-sna_Latn,3-1
heb_Hebr-snd_Arab,3-1
heb_Hebr-som_Latn,3-1
heb_Hebr-sqi_Latn,3-1
heb_Hebr-srd_Latn,3-1
heb_Hebr-sun_Latn,3-1
heb_Hebr-swc_Latn,3-1
heb_Hebr-tat_Cyrl,3-1
heb_Hebr-tel_Telu,3-1
heb_Hebr-tgk_Cyrl,3-1
heb_Hebr-vec_Latn,3-1
heb_Hebr-wln_Latn,3-1
heb_Hebr-yue_Hani,3-1
ind_Latn-abk_Cyrl,3-1
ind_Latn-ace_Latn,3-1
ind_Latn-azj_Latn,3-1
ind_Latn-bak_Cyrl,3-1
ind_Latn-ckb_Arab,3-1
ind_Latn-crh_Latn,3-1
ind_Latn-epo_Latn,3-1
ind_Latn-fur_Latn,3-1
ind_Latn-hbs_Latn,3-1
ind_Latn-ibo_Latn,3-1
ind_Latn-ilo_Latn,3-1
ind_Latn-jav_Latn,3-1
ind_Latn-kab_Latn,3-1
ind_Latn-kan_Knda,3-1
ind_Latn-khk_Cyrl,3-1
ind_Latn-khm_Khmr,3-1
ind_Latn-kin_Latn,3-1
ind_Latn-kir_Cyrl,3-1
ind_Latn-kmr_Latn,3-1
ind_Latn-lim_Latn,3-1
ind_Latn-ltz_Latn,3-1
ind_Latn-lzh_Hani,3-1
ind_Latn-mal_Mlym,3-1
ind_Latn-mhr_Cyrl,3-1
ind_Latn-min_Latn,3-1
ind_Latn-mkd_Cyrl,3-1
ind_Latn-mlg_Latn,3-1
ind_Latn-mon_Cyrl,3-1
ind_Latn-mri_Latn,3-1
ind_Latn-mya_Mymr,3-1
ind_Latn-nep_Deva,3-1
ind_Latn-nno_Latn,3-1
ind_Latn-nob_Latn,3-1
ind_Latn-nor_Latn,3-1
ind_Latn-npi_Deva,3-1
ind_Latn-nya_Latn,3-1
ind_Latn-oci_Latn,3-1
ind_Latn-pap_Latn,3-1
ind_Latn-pbt_Arab,3-1
ind_Latn-plt_Latn,3-1
ind_Latn-pus_Arab,3-1
ind_Latn-scn_Latn,3-1
ind_Latn-sin_Sinh,3-1
ind_Latn-sna_Latn,3-1
ind_Latn-snd_Arab,3-1
ind_Latn-som_Latn,3-1
ind_Latn-sqi_Latn,3-1
ind_Latn-srd_Latn,3-1
ind_Latn-sun_Latn,3-1
ind_Latn-swc_Latn,3-1
ind_Latn-tat_Cyrl,3-1
ind_Latn-tel_Telu,3-1
ind_Latn-tgk_Cyrl,3-1
ind_Latn-vec_Latn,3-1
ind_Latn-wln_Latn,3-1
ind_Latn-yue_Hani,3-1
kat_Geor-kan_Knda,3-1
kat_Geor-khk_Cyrl,3-1
kat_Geor-khm_Khmr,3-1
kat_Geor-kir_Cyrl,3-1
kat_Geor-kmr_Latn,3-1
kat_Geor-mal_Mlym,3-1
kat_Geor-mkd_Cyrl,3-1
kat_Geor-mlg_Latn,3-1
kat_Geor-mon_Cyrl,3-1
kat_Geor-mri_Latn,3-1
kat_Geor-mya_Mymr,3-1
kat_Geor-nep_Deva,3-1
kat_Geor-nob_Latn,3-1
kat_Geor-nor_Latn,3-1
kat_Geor-npi_Deva,3-1
kat_Geor-nya_Latn,3-1
kat_Geor-pbt_Arab,3-1
kat_Geor-plt_Latn,3-1
kat_Geor-pus_Arab,3-1
kat_Geor-sin_Sinh,3-1
kat_Geor-som_Latn,3-1
kat_Geor-sqi_Latn,3-1
kat_Geor-sun_Latn,3-1
kat_Geor-tel_Telu,3-1
kat_Geor-tgk_Cyrl,3-1
kat_Geor-yue_Hani,3-1
kaz_Cyrl-kan_Knda,3-1
kaz_Cyrl-khk_Cyrl,3-1
kaz_Cyrl-khm_Khmr,3-1
kaz_Cyrl-kir_Cyrl,3-1
kaz_Cyrl-kmr_Latn,3-1
kaz_Cyrl-mal_Mlym,3-1
kaz_Cyrl-mkd_Cyrl,3-1
kaz_Cyrl-mlg_Latn,3-1
kaz_Cyrl-mon_Cyrl,3-1
kaz_Cyrl-mya_Mymr,3-1
kaz_Cyrl-nep_Deva,3-1
kaz_Cyrl-nno_Latn,3-1
kaz_Cyrl-nob_Latn,3-1
kaz_Cyrl-nor_Latn,3-1
kaz_Cyrl-npi_Deva,3-1
kaz_Cyrl-oci_Latn,3-1
kaz_Cyrl-pbt_Arab,3-1
kaz_Cyrl-plt_Latn,3-1
kaz_Cyrl-pus_Arab,3-1
kaz_Cyrl-sin_Sinh,3-1
kaz_Cyrl-som_Latn,3-1
kaz_Cyrl-sqi_Latn,3-1
kaz_Cyrl-sun_Latn,3-1
kaz_Cyrl-tat_Cyrl,3-1
kaz_Cyrl-tel_Telu,3-1
kaz_Cyrl-tgk_Cyrl,3-1
kaz_Cyrl-yue_Hani,3-1
lat_Latn-ltz_Latn,3-1
lat_Latn-mal_Mlym,3-1
lat_Latn-mkd_Cyrl,3-1
lat_Latn-mlg_Latn,3-1
lat_Latn-nep_Deva,3-1
lat_Latn-nor_Latn,3-1
lat_Latn-oci_Latn,3-1
lat_Latn-sin_Sinh,3-1
lat_Latn-sqi_Latn,3-1
lat_Latn-tel_Telu,3-1
lav_Latn-fur_Latn,3-1
lav_Latn-hbs_Latn,3-1
lav_Latn-mal_Mlym,3-1
lav_Latn-mkd_Cyrl,3-1
lav_Latn-mlg_Latn,3-1
lav_Latn-mon_Cyrl,3-1
lav_Latn-mya_Mymr,3-1
lav_Latn-nep_Deva,3-1
lav_Latn-nno_Latn,3-1
lav_Latn-nob_Latn,3-1
lav_Latn-nor_Latn,3-1
lav_Latn-oci_Latn,3-1
lav_Latn-sin_Sinh,3-1
lav_Latn-sqi_Latn,3-1
lav_Latn-srd_Latn,3-1
lav_Latn-sun_Latn,3-1
lav_Latn-tel_Telu,3-1
lav_Latn-yue_Hani,3-1
lit_Latn-fur_Latn,3-1
lit_Latn-hbs_Latn,3-1
lit_Latn-khk_Cyrl,3-1
lit_Latn-kin_Latn,3-1
lit_Latn-lim_Latn,3-1
lit_Latn-lzh_Hani,3-1
lit_Latn-mal_Mlym,3-1
lit_Latn-mkd_Cyrl,3-1
lit_Latn-mlg_Latn,3-1
lit_Latn-mon_Cyrl,3-1
lit_Latn-mri_Latn,3-1
lit_Latn-mya_Mymr,3-1
lit_Latn-nep_Deva,3-1
lit_Latn-nno_Latn,3-1
lit_Latn-nob_Latn,3-1
lit_Latn-nor_Latn,3-1
lit_Latn-npi_Deva,3-1
lit_Latn-nya_Latn,3-1
lit_Latn-oci_Latn,3-1
lit_Latn-pbt_Arab,3-1
lit_Latn-plt_Latn,3-1
lit_Latn-pus_Arab,3-1
lit_Latn-rmy_Latn,3-1
lit_Latn-sin_Sinh,3-1
lit_Latn-sna_Latn,3-1
lit_Latn-snd_Arab,3-1
lit_Latn-som_Latn,3-1
lit_Latn-sqi_Latn,3-1
lit_Latn-srd_Latn,3-1
lit_Latn-sun_Latn,3-1
lit_Latn-swc_Latn,3-1
lit_Latn-tel_Telu,3-1
lit_Latn-tgk_Cyrl,3-1
lit_Latn-vec_Latn,3-1
lit_Latn-yue_Hani,3-1
lvs_Latn-fur_Latn,3-1
lvs_Latn-hbs_Latn,3-1
lvs_Latn-khk_Cyrl,3-1
lvs_Latn-lzh_Hani,3-1
lvs_Latn-mal_Mlym,3-1
lvs_Latn-mkd_Cyrl,3-1
lvs_Latn-mlg_Latn,3-1
lvs_Latn-mon_Cyrl,3-1
lvs_Latn-mri_Latn,3-1
lvs_Latn-mya_Mymr,3-1
lvs_Latn-nep_Deva,3-1
lvs_Latn-nno_Latn,3-1
lvs_Latn-nob_Latn,3-1
lvs_Latn-nor_Latn,3-1
lvs_Latn-npi_Deva,3-1
lvs_Latn-nya_Latn,3-1
lvs_Latn-oci_Latn,3-1
lvs_Latn-pbt_Arab,3-1
lvs_Latn-plt_Latn,3-1
lvs_Latn-pus_Arab,3-1
lvs_Latn-sin_Sinh,3-1
lvs_Latn-som_Latn,3-1
lvs_Latn-sqi_Latn,3-1
lvs_Latn-srd_Latn,3-1
lvs_Latn-sun_Latn,3-1
lvs_Latn-swc_Latn,3-1
lvs_Latn-tel_Telu,3-1
lvs_Latn-tgk_Cyrl,3-1
lvs_Latn-yue_Hani,3-1
msa_Latn-abk_Cyrl,3-1
msa_Latn-fur_Latn,3-1
msa_Latn-hbs_Latn,3-1
msa_Latn-kin_Latn,3-1
msa_Latn-lzh_Hani,3-1
msa_Latn-mya_Mymr,3-1
msa_Latn-nep_Deva,3-1
msa_Latn-nno_Latn,3-1
msa_Latn-nob_Latn,3-1
msa_Latn-nor_Latn,3-1
msa_Latn-npi_Deva,3-1
msa_Latn-oci_Latn,3-1
msa_Latn-pus_Arab,3-1
msa_Latn-sin_Sinh,3-1
msa_Latn-snd_Arab,3-1
msa_Latn-som_Latn,3-1
msa_Latn-sqi_Latn,3-1
msa_Latn-srd_Latn,3-1
msa_Latn-sun_Latn,3-1
msa_Latn-tel_Telu,3-1
msa_Latn-tgk_Cyrl,3-1
msa_Latn-uig_Arab,3-1
msa_Latn-wln_Latn,3-1
msa_Latn-yue_Hani,3-1
ron_Latn-abk_Cyrl,3-1
ron_Latn-azj_Latn,3-1
ron_Latn-bak_Cyrl,3-1
ron_Latn-epo_Latn,3-1
ron_Latn-fur_Latn,3-1
ron_Latn-hbs_Latn,3-1
ron_Latn-kab_Latn,3-1
ron_Latn-kin_Latn,3-1
ron_Latn-lzh_Hani,3-1
ron_Latn-mhr_Cyrl,3-1
ron_Latn-mkd_Cyrl,3-1
ron_Latn-nno_Latn,3-1
ron_Latn-nob_Latn,3-1
ron_Latn-sin_Sinh,3-1
ron_Latn-sna_Latn,3-1
ron_Latn-snd_Arab,3-1
ron_Latn-som_Latn,3-1
ron_Latn-sqi_Latn,3-1
ron_Latn-srd_Latn,3-1
ron_Latn-sun_Latn,3-1
ron_Latn-tat_Cyrl,3-1
ron_Latn-tel_Telu,3-1
ron_Latn-tgk_Cyrl,3-1
ron_Latn-wln_Latn,3-1
ron_Latn-yue_Hani,3-1
slk_Latn-epo_Latn,3-1
slk_Latn-fur_Latn,3-1
slk_Latn-lzh_Hani,3-1
slk_Latn-mkd_Cyrl,3-1
slk_Latn-nno_Latn,3-1
slk_Latn-nob_Latn,3-1
slk_Latn-nor_Latn,3-1
slk_Latn-sna_Latn,3-1
slk_Latn-som_Latn,3-1
slk_Latn-sqi_Latn,3-1
slk_Latn-srd_Latn,3-1
slk_Latn-sun_Latn,3-1
slk_Latn-swc_Latn,3-1
slk_Latn-tel_Telu,3-1
slk_Latn-tgk_Cyrl,3-1
slk_Latn-wln_Latn,3-1
slk_Latn-yue_Hani,3-1
slv_Latn-fur_Latn,3-1
slv_Latn-lzh_Hani,3-1
slv_Latn-mkd_Cyrl,3-1
slv_Latn-nno_Latn,3-1
slv_Latn-nob_Latn,3-1
slv_Latn-nor_Latn,3-1
slv_Latn-sna_Latn,3-1
slv_Latn-som_Latn,3-1
slv_Latn-sqi_Latn,3-1
slv_Latn-srd_Latn,3-1
slv_Latn-sun_Latn,3-1
slv_Latn-swc_Latn,3-1
slv_Latn-tat_Cyrl,3-1
slv_Latn-tel_Telu,3-1
slv_Latn-tgk_Cyrl,3-1
slv_Latn-wln_Latn,3-1
slv_Latn-yue_Hani,3-1
tam_Taml-lzh_Hani,3-1
tam_Taml-tel_Telu,3-1
tam_Taml-tgk_Cyrl,3-1
tam_Taml-wln_Latn,3-1
tam_Taml-yue_Hani,3-1
tgl_Latn-lzh_Hani,3-1
tgl_Latn-yue_Hani,3-1
tha_Thai-lzh_Hani,3-1
tha_Thai-yue_Hani,3-1
ukr_Cyrl-lzh_Hani,3-1
ukr_Cyrl-wln_Latn,3-1
ukr_Cyrl-yue_Hani,3-1
urd_Arab-lzh_Hani,3-1
urd_Arab-yue_Hani,3-1
uzn_Latn-mkd_Cyrl,3-1
uzn_Latn-nor_Latn,3-1
uzn_Latn-sqi_Latn,3-1
zsm_Latn-mal_Mlym,3-1
zsm_Latn-mya_Mymr,3-1
zsm_Latn-nep_Deva,3-1
zsm_Latn-nob_Latn,3-1
zsm_Latn-nor_Latn,3-1
zsm_Latn-npi_Deva,3-1
zsm_Latn-sin_Sinh,3-1
zsm_Latn-sqi_Latn,3-1
zsm_Latn-sun_Latn,3-1
zsm_Latn-tel_Telu,3-1
zsm_Latn-yue_Hani,3-1
afr_Latn-als_Latn,3-2
afr_Latn-amh_Ethi,3-2
afr_Latn-gle_Latn,3-2
afr_Latn-hat_Latn,3-2
afr_Latn-hau_Latn,3-2
afr_Latn-isl_Latn,3-2
afr_Latn-lao_Laoo,3-2
afr_Latn-mar_Deva,3-2
afr_Latn-mlt_Latn,3-2
afr_Latn-pan_Guru,3-2
afr_Latn-swa_Latn,3-2
afr_Latn-swh_Latn,3-2
afr_Latn-tir_Ethi,3-2
afr_Latn-tsn_Latn,3-2
afr_Latn-wol_Latn,3-2
afr_Latn-xho_Latn,3-2
afr_Latn-yor_Latn,3-2
afr_Latn-zul_Latn,3-2
arz_Arab-als_Latn,3-2
arz_Arab-isl_Latn,3-2
arz_Arab-mar_Deva,3-2
arz_Arab-xho_Latn,3-2
bel_Cyrl-als_Latn,3-2
bel_Cyrl-gle_Latn,3-2
bel_Cyrl-hat_Latn,3-2
bel_Cyrl-hau_Latn,3-2
bel_Cyrl-isl_Latn,3-2
bel_Cyrl-lao_Laoo,3-2
bel_Cyrl-mar_Deva,3-2
bel_Cyrl-mlt_Latn,3-2
bel_Cyrl-pan_Guru,3-2
bel_Cyrl-swa_Latn,3-2
bel_Cyrl-swh_Latn,3-2
bel_Cyrl-xho_Latn,3-2
bel_Cyrl-yor_Latn,3-2
bel_Cyrl-zul_Latn,3-2
ben_Beng-als_Latn,3-2
ben_Beng-gle_Latn,3-2
ben_Beng-hat_Latn,3-2
ben_Beng-hau_Latn,3-2
ben_Beng-isl_Latn,3-2
ben_Beng-lao_Laoo,3-2
ben_Beng-mar_Deva,3-2
ben_Beng-mlt_Latn,3-2
ben_Beng-pan_Guru,3-2
ben_Beng-san_Deva,3-2
ben_Beng-swa_Latn,3-2
ben_Beng-swh_Latn,3-2
ben_Beng-xho_Latn,3-2
ben_Beng-yor_Latn,3-2
ben_Beng-zul_Latn,3-2
bos_Latn-als_Latn,3-2
bos_Latn-gle_Latn,3-2
bos_Latn-hau_Latn,3-2
bos_Latn-isl_Latn,3-2
bos_Latn-mar_Deva,3-2
bos_Latn-pan_Guru,3-2
bos_Latn-swa_Latn,3-2
bos_Latn-xho_Latn,3-2
bul_Cyrl-als_Latn,3-2
bul_Cyrl-gle_Latn,3-2
bul_Cyrl-hat_Latn,3-2
bul_Cyrl-hau_Latn,3-2
bul_Cyrl-isl_Latn,3-2
bul_Cyrl-lao_Laoo,3-2
bul_Cyrl-mar_Deva,3-2
bul_Cyrl-mlt_Latn,3-2
bul_Cyrl-pan_Guru,3-2
bul_Cyrl-swa_Latn,3-2
bul_Cyrl-swh_Latn,3-2
bul_Cyrl-wol_Latn,3-2
bul_Cyrl-xho_Latn,3-2
bul_Cyrl-yor_Latn,3-2
bul_Cyrl-zul_Latn,3-2
ceb_Latn-hat_Latn,3-2
ceb_Latn-hau_Latn,3-2
ceb_Latn-isl_Latn,3-2
ceb_Latn-mar_Deva,3-2
ceb_Latn-swa_Latn,3-2
ceb_Latn-xho_Latn,3-2
dan_Latn-als_Latn,3-2
dan_Latn-gle_Latn,3-2
dan_Latn-hat_Latn,3-2
dan_Latn-hau_Latn,3-2
dan_Latn-isl_Latn,3-2
dan_Latn-lao_Laoo,3-2
dan_Latn-mar_Deva,3-2
dan_Latn-mlt_Latn,3-2
dan_Latn-pan_Guru,3-2
dan_Latn-swa_Latn,3-2
dan_Latn-swh_Latn,3-2
dan_Latn-wol_Latn,3-2
dan_Latn-xho_Latn,3-2
dan_Latn-ydd_Hebr,3-2
dan_Latn-yor_Latn,3-2
dan_Latn-zul_Latn,3-2
ekk_Latn-als_Latn,3-2
ekk_Latn-gle_Latn,3-2
ekk_Latn-hat_Latn,3-2
ekk_Latn-hau_Latn,3-2
ekk_Latn-isl_Latn,3-2
ekk_Latn-mar_Deva,3-2
ekk_Latn-mlt_Latn,3-2
ekk_Latn-pan_Guru,3-2
ekk_Latn-swa_Latn,3-2
ekk_Latn-swh_Latn,3-2
ekk_Latn-xho_Latn,3-2
ekk_Latn-yor_Latn,3-2
ell_Grek-als_Latn,3-2
ell_Grek-gle_Latn,3-2
ell_Grek-hat_Latn,3-2
ell_Grek-hau_Latn,3-2
ell_Grek-isl_Latn,3-2
ell_Grek-lao_Laoo,3-2
ell_Grek-mar_Deva,3-2
ell_Grek-mlt_Latn,3-2
ell_Grek-pan_Guru,3-2
ell_Grek-swa_Latn,3-2
ell_Grek-swh_Latn,3-2
ell_Grek-wol_Latn,3-2
ell_Grek-xho_Latn,3-2
ell_Grek-yor_Latn,3-2
ell_Grek-zul_Latn,3-2
est_Latn-als_Latn,3-2
est_Latn-gle_Latn,3-2
est_Latn-hat_Latn,3-2
est_Latn-hau_Latn,3-2
est_Latn-isl_Latn,3-2
est_Latn-mar_Deva,3-2
est_Latn-mlt_Latn,3-2
est_Latn-pan_Guru,3-2
est_Latn-swa_Latn,3-2
est_Latn-swh_Latn,3-2
est_Latn-xho_Latn,3-2
fil_Latn-xho_Latn,3-2
glg_Latn-als_Latn,3-2
glg_Latn-hau_Latn,3-2
glg_Latn-isl_Latn,3-2
glg_Latn-mar_Deva,3-2
glg_Latn-mlt_Latn,3-2
glg_Latn-pan_Guru,3-2
glg_Latn-swa_Latn,3-2
glg_Latn-swh_Latn,3-2
glg_Latn-xho_Latn,3-2
heb_Hebr-als_Latn,3-2
heb_Hebr-hat_Latn,3-2
heb_Hebr-hau_Latn,3-2
heb_Hebr-isl_Latn,3-2
heb_Hebr-lao_Laoo,3-2
heb_Hebr-mar_Deva,3-2
heb_Hebr-mlt_Latn,3-2
heb_Hebr-pan_Guru,3-2
heb_Hebr-swa_Latn,3-2
heb_Hebr-swh_Latn,3-2
heb_Hebr-xho_Latn,3-2
heb_Hebr-yor_Latn,3-2
heb_Hebr-zul_Latn,3-2
ind_Latn-als_Latn,3-2
ind_Latn-isl_Latn,3-2
ind_Latn-lao_Laoo,3-2
ind_Latn-mar_Deva,3-2
ind_Latn-mlt_Latn,3-2
ind_Latn-pan_Guru,3-2
ind_Latn-swa_Latn,3-2
ind_Latn-swh_Latn,3-2
ind_Latn-wol_Latn,3-2
ind_Latn-xho_Latn,3-2
ind_Latn-yor_Latn,3-2
ind_Latn-zul_Latn,3-2
kat_Geor-als_Latn,3-2
kat_Geor-lao_Laoo,3-2
kat_Geor-mar_Deva,3-2
kat_Geor-pan_Guru,3-2
kat_Geor-swa_Latn,3-2
kat_Geor-swh_Latn,3-2
kat_Geor-xho_Latn,3-2
kat_Geor-yor_Latn,3-2
kat_Geor-zul_Latn,3-2
kaz_Cyrl-als_Latn,3-2
kaz_Cyrl-lao_Laoo,3-2
kaz_Cyrl-mar_Deva,3-2
kaz_Cyrl-pan_Guru,3-2
kaz_Cyrl-swa_Latn,3-2
kaz_Cyrl-swh_Latn,3-2
kaz_Cyrl-xho_Latn,3-2
kaz_Cyrl-yor_Latn,3-2
kaz_Cyrl-zul_Latn,3-2
lat_Latn-mar_Deva,3-2
lat_Latn-swa_Latn,3-2
lat_Latn-xho_Latn,3-2
lav_Latn-als_Latn,3-2
lav_Latn-mar_Deva,3-2
lav_Latn-mlt_Latn,3-2
lav_Latn-swa_Latn,3-2
lav_Latn-xho_Latn,3-2
lit_Latn-als_Latn,3-2
lit_Latn-mar_Deva,3-2
lit_Latn-mlt_Latn,3-2
lit_Latn-pan_Guru,3-2
lit_Latn-swa_Latn,3-2
lit_Latn-swh_Latn,3-2
lit_Latn-xho_Latn,3-2
lit_Latn-yor_Latn,3-2
lit_Latn-zul_Latn,3-2
lvs_Latn-als_Latn,3-2
lvs_Latn-mar_Deva,3-2
lvs_Latn-mlt_Latn,3-2
lvs_Latn-pan_Guru,3-2
lvs_Latn-swa_Latn,3-2
lvs_Latn-swh_Latn,3-2
lvs_Latn-xho_Latn,3-2
lvs_Latn-yor_Latn,3-2
lvs_Latn-zul_Latn,3-2
msa_Latn-als_Latn,3-2
msa_Latn-mlt_Latn,3-2
msa_Latn-pan_Guru,3-2
msa_Latn-swa_Latn,3-2
msa_Latn-swh_Latn,3-2
msa_Latn-xho_Latn,3-2
msa_Latn-yor_Latn,3-2
msa_Latn-zul_Latn,3-2
ron_Latn-als_Latn,3-2
ron_Latn-swa_Latn,3-2
ron_Latn-swh_Latn,3-2
ron_Latn-xho_Latn,3-2
ron_Latn-yor_Latn,3-2
ron_Latn-zul_Latn,3-2
slk_Latn-als_Latn,3-2
slk_Latn-isl_Latn,3-2
slk_Latn-mlt_Latn,3-2
slk_Latn-swa_Latn,3-2
slk_Latn-swh_Latn,3-2
slk_Latn-xho_Latn,3-2
slk_Latn-yor_Latn,3-2
slk_Latn-zul_Latn,3-2
slv_Latn-als_Latn,3-2
slv_Latn-swa_Latn,3-2
slv_Latn-swh_Latn,3-2
slv_Latn-xho_Latn,3-2
slv_Latn-yor_Latn,3-2
slv_Latn-zul_Latn,3-2
tam_Taml-xho_Latn,3-2
tam_Taml-yor_Latn,3-2
tam_Taml-zul_Latn,3-2
tgl_Latn-xho_Latn,3-2
tgl_Latn-yor_Latn,3-2
tha_Thai-xho_Latn,3-2
tha_Thai-yor_Latn,3-2
tha_Thai-zul_Latn,3-2
ukr_Cyrl-xho_Latn,3-2
ukr_Cyrl-yor_Latn,3-2
ukr_Cyrl-zul_Latn,3-2
urd_Arab-xho_Latn,3-2
urd_Arab-yor_Latn,3-2
urd_Arab-zul_Latn,3-2
uzn_Latn-xho_Latn,3-2
zsm_Latn-als_Latn,3-2
zsm_Latn-mlt_Latn,3-2
zsm_Latn-swa_Latn,3-2
zsm_Latn-swh_Latn,3-2
zsm_Latn-xho_Latn,3-2
afr_Latn-arz_Arab,3-3
afr_Latn-bel_Cyrl,3-3
afr_Latn-ben_Beng,3-3
afr_Latn-bos_Latn,3-3
afr_Latn-bul_Cyrl,3-3
afr_Latn-ceb_Latn,3-3
afr_Latn-dan_Latn,3-3
afr_Latn-ekk_Latn,3-3
afr_Latn-ell_Grek,3-3
afr_Latn-est_Latn,3-3
afr_Latn-fil_Latn,3-3
afr_Latn-glg_Latn,3-3
afr_Latn-heb_Hebr,3-3
afr_Latn-ind_Latn,3-3
afr_Latn-kat_Geor,3-3
afr_Latn-kaz_Cyrl,3-3
afr_Latn-lat_Latn,3-3
afr_Latn-lav_Latn,3-3
afr_Latn-lit_Latn,3-3
afr_Latn-lvs_Latn,3-3
afr_Latn-msa_Latn,3-3
afr_Latn-ron_Latn,3-3
afr_Latn-slk_Latn,3-3
afr_Latn-slv_Latn,3-3
afr_Latn-tam_Taml,3-3
afr_Latn-tgl_Latn,3-3
afr_Latn-tha_Thai,3-3
afr_Latn-ukr_Cyrl,3-3
afr_Latn-urd_Arab,3-3
afr_Latn-uzn_Latn,3-3
afr_Latn-zsm_Latn,3-3
arz_Arab-ben_Beng,3-3
arz_Arab-bos_Latn,3-3
arz_Arab-bul_Cyrl,3-3
arz_Arab-dan_Latn,3-3
arz_Arab-ekk_Latn,3-3
arz_Arab-ell_Grek,3-3
arz_Arab-est_Latn,3-3
arz_Arab-glg_Latn,3-3
arz_Arab-heb_Hebr,3-3
arz_Arab-ind_Latn,3-3
arz_Arab-lit_Latn,3-3
arz_Arab-lvs_Latn,3-3
arz_Arab-msa_Latn,3-3
arz_Arab-ron_Latn,3-3
arz_Arab-slk_Latn,3-3
arz_Arab-slv_Latn,3-3
arz_Arab-tam_Taml,3-3
arz_Arab-tha_Thai,3-3
arz_Arab-ukr_Cyrl,3-3
arz_Arab-urd_Arab,3-3
arz_Arab-zsm_Latn,3-3
bel_Cyrl-ben_Beng,3-3
bel_Cyrl-bos_Latn,3-3
bel_Cyrl-bul_Cyrl,3-3
bel_Cyrl-ceb_Latn,3-3
bel_Cyrl-dan_Latn,3-3
bel_Cyrl-ekk_Latn,3-3
bel_Cyrl-ell_Grek,3-3
bel_Cyrl-est_Latn,3-3
bel_Cyrl-fil_Latn,3-3
bel_Cyrl-glg_Latn,3-3
bel_Cyrl-heb_Hebr,3-3
bel_Cyrl-ind_Latn,3-3
bel_Cyrl-kat_Geor,3-3
bel_Cyrl-kaz_Cyrl,3-3
bel_Cyrl-lat_Latn,3-3
bel_Cyrl-lav_Latn,3-3
bel_Cyrl-lit_Latn,3-3
bel_Cyrl-lvs_Latn,3-3
bel_Cyrl-msa_Latn,3-3
bel_Cyrl-ron_Latn,3-3
bel_Cyrl-slk_Latn,3-3
bel_Cyrl-slv_Latn,3-3
bel_Cyrl-tam_Taml,3-3
bel_Cyrl-tgl_Latn,3-3
bel_Cyrl-tha_Thai,3-3
bel_Cyrl-ukr_Cyrl,3-3
bel_Cyrl-urd_Arab,3-3
bel_Cyrl-uzn_Latn,3-3
bel_Cyrl-zsm_Latn,3-3
ben_Beng-afr_Latn,3-3
ben_Beng-bos_Latn,3-3
ben_Beng-ceb_Latn,3-3
ben_Beng-dan_Latn,3-3
ben_Beng-ekk_Latn,3-3
ben_Beng-ell_Grek,3-3
ben_Beng-est_Latn,3-3
ben_Beng-fil_Latn,3-3
ben_Beng-glg_Latn,3-3
ben_Beng-heb_Hebr,3-3
ben_Beng-ind_Latn,3-3
ben_Beng-kat_Geor,3-3
ben_Beng-kaz_Cyrl,3-3
ben_Beng-lat_Latn,3-3
ben_Beng-lav_Latn,3-3
ben_Beng-lit_Latn,3-3
ben_Beng-lvs_Latn,3-3
ben_Beng-msa_Latn,3-3
ben_Beng-ron_Latn,3-3
ben_Beng-slk_Latn,3-3
ben_Beng-slv_Latn,3-3
ben_Beng-tam_Taml,3-3
ben_Beng-tgl_Latn,3-3
ben_Beng-tha_Thai,3-3
ben_Beng-ukr_Cyrl,3-3
ben_Beng-urd_Arab,3-3
ben_Beng-uzn_Latn,3-3
ben_Beng-zsm_Latn,3-3
bos_Latn-afr_Latn,3-3
bos_Latn-dan_Latn,3-3
bos_Latn-ekk_Latn,3-3
bos_Latn-ell_Grek,3-3
bos_Latn-est_Latn,3-3
bos_Latn-glg_Latn,3-3
bos_Latn-heb_Hebr,3-3
bos_Latn-ind_Latn,3-3
bos_Latn-kat_Geor,3-3
bos_Latn-kaz_Cyrl,3-3
bos_Latn-lat_Latn,3-3
bos_Latn-lav_Latn,3-3
bos_Latn-lit_Latn,3-3
bos_Latn-lvs_Latn,3-3
bos_Latn-msa_Latn,3-3
bos_Latn-ron_Latn,3-3
bos_Latn-slk_Latn,3-3
bos_Latn-slv_Latn,3-3
bos_Latn-tam_Taml,3-3
bos_Latn-tgl_Latn,3-3
bos_Latn-tha_Thai,3-3
bos_Latn-ukr_Cyrl,3-3
bos_Latn-urd_Arab,3-3
bos_Latn-uzn_Latn,3-3
bos_Latn-zsm_Latn,3-3
bul_Cyrl-afr_Latn,3-3
bul_Cyrl-bel_Cyrl,3-3
bul_Cyrl-ben_Beng,3-3
bul_Cyrl-bos_Latn,3-3
bul_Cyrl-ceb_Latn,3-3
bul_Cyrl-dan_Latn,3-3
bul_Cyrl-ekk_Latn,3-3
bul_Cyrl-ell_Grek,3-3
bul_Cyrl-est_Latn,3-3
bul_Cyrl-fil_Latn,3-3
bul_Cyrl-glg_Latn,3-3
bul_Cyrl-heb_Hebr,3-3
bul_Cyrl-ind_Latn,3-3
bul_Cyrl-kat_Geor,3-3
bul_Cyrl-kaz_Cyrl,3-3
bul_Cyrl-lat_Latn,3-3
bul_Cyrl-lav_Latn,3-3
bul_Cyrl-lit_Latn,3-3
bul_Cyrl-lvs_Latn,3-3
